Product_Name,Product_Price
Amazon Basics Pivoting Soap Pump Dispenser - Black,3.7
"Amazon Basics Cleaning Duster, 3-Pack, Blue and White",17.49
"Amazon Basics Fuzzy Faux Fur Sherpa Throw Blanket, 50""x60"" - Tan Tie Dye",18.84
"Amazon Basics Microfiber Sheet Set, Queen, Dark Grey",19.99
"Amazon Basics Fade-Resistant Cotton Washcloths - Pack of 12, Black",15.99
"Amazon Basics Fabric Storage Bin - Tall Round, Navy Blue",20.49
"Amazon Basics 20-Piece Stainless Steel Flatware Set with Square Edge, Service for 4",19.99
Amazon Basics Pre-Seasoned Cast Iron Skillet - 12-Inch,26.99
"Amazon Basics Plastic Cutlery Fork, Heavy-Weight, Black, 1000 Count",35.32
"Amazon Basics Broom Holder Wall Mount and Garden Tool Organizer, 6 Hook",18.51
"Amazon Basics Large Round Laundry Hamper Storage Basket with Handles, Striped",22.91
"Amazon Basics Vacuum Compression Storage Bags with Hand Pump - Pack of 12 (3 Jumbo, 3 Large, 3 Medium, 3 Small)",29.99
"TRIDENT Soft and Plush, 100% Cotton, Highly Absorbent, Bathroom Towels, Super Soft, 6 Piece Towel Set (2 Bath Towels, 2 Hand Towels, 2 Washcloths), 500 GSM, Teal",23.75
RPJC 4x6 Picture Frames Made of Solid Wood High Definition Glass for Table Top Display and Wall Mounting Photo Frame Black,6.79
"Ecolution Reversible 19.5” x 11, Non-Stick, Dishwasher Safe, Double Burner Family Griddle Grill Pan Cookware, Cast Aluminum, Gray Granite",24.99
"Amazon Basics Glass Food Storage, 16-Piece Set, 8 Containers and 8 BPA-Free Lids",21.99
"Amazon Basics Terry Cotton Washcloths, Seafoam Green - Pack of 24",17.99
"Amazon Basics Hard Anodized Non-Stick 2-Piece Skillet Set, 9.5-Inch and 11-Inch, Red",21.89
"Amazon Basics Quick-Dry, Luxurious, Soft, 100% Cotton Bath Towels, Platinum - Set of 2",19.99
"Amazon Basics Teflon Soleplate Steam Iron, 1200-Watt",17.43
"Amazon Basics Large Drying Rack - 18x24"" (46x70cm) (46x70cm) - Linen/Nickel, With 2 Mats",28.46
"Amazon Basics Silicone Hot Skillet Handle Cover Holder, Blue",5.99
"Amazon Basics Satin Pillowcases for Hair and Skin, Envelope Closure - Black, Queen, Pack of 2",11.99
"Amazon Basics Blue, White, and Yellow Microfiber Cleaning Cloth - Pack of 24",15.49
"Amazon Basics ABL001 glass storage, 0.6-Cup, clear with blue lids",8.07
"Amazon Basics 16-Ounce Disposable Plastic Cups, Clear/Translucent - Pack of 240",20.99
Amazon Basics Replacement Water Filters for Water Pitchers - 3-Pack,13.33
"Gorilla Grip All-Purpose Tongs, Stainless Steel, Rust Resistant, Dishwasher, Comfortable Handle Grips, Sturdy Kitchen Serving Grill Tong for Salads, Cooking, Grilling, Salads, BBQ, 7 Inch, Red",6.99
"DMD Knife Sharpener [3 stage], Original Premium Polish Blades, Best Kitchen Knife Sharpener Really Works for Ceramic and Steel Knives, Scissors, Good Kitchen Partner.",15.99
"Crepe Pan, ROCKURWOK Nonstick Pancake Pan with Silicone Handle Frying Skillet Griddle for Omelette, Tortillas, Dosa, 9.5-Inch, Violet",23.99
"Knife Sharpener 4 in 1Kitchen Scissor Sharpening Tool, with Diamond, Tungsten Steel, Ceramic Stone, Non-slip Base, Cut-Resistant Glove, Helps Repair Restore and Polish Blades",10.99
"Herda Cast Iron Scrubber and Scrapers Kit, 4Pieces Cast Iron Cleaning Care Kit 316 Chainmail Scrubber for Iron Pan, Cast iron Cleaner Chain Scrub Brush Griddle Scraper Tool for Steel Pan Wok",14.99
TowelSelections Sunshine Collection Soft Towels 100% Turkish Cotton 6 Washcloths Bougainvillea,9.95
