Name,Rank,number_of_goals,nationality
Alan Shearer,1,260,England
Wayne Rooney,2,208,England
Andrew Cole,3,187,England
Sergio Agüero,4,184,Argentina
Frank Lampard,5,177,England
Thierry Henry,6,175,France
Harry Kane,7,166,England
Robbie Fowler,8,163,England
Jermain Defoe,9,162,England
Michael Owen,10,150,England
Les Ferdinand,11,149,England
Teddy Sheringham,12,146,England
Robin van Persie,13,144,Netherlands
Jimmy Floyd Hasselbaink,14,127,Netherlands
Robbie Keane,15,126,Ireland
Nicolas Anelka,16,125,France
Dwight Yorke,17,123,Trinidad & Tobago
Steven Gerrard,18,120,England
Jamie Vardy,19,118,England
Romelu Lukaku,20,113,Belgium
